index,element,x,y,z,coordination_number,is_interfacial
842,O,7.035567,2.328771,26.615771,4,0
843,O,8.450824,8.927123,22.872496,3,0
844,O,9.784895,15.412365,22.625533,3,0
845,O,7.183655,2.403948,22.951921,3,0
846,O,1.481229,6.661749,22.561192,3,0
847,O,2.804730,13.267490,22.360487,4,1
848,O,0.223293,0.192832,22.754977,3,0
849,O,14.111621,4.417710,23.072608,3,0
850,O,15.379163,11.051742,22.940021,3,0
851,O,16.659561,17.509362,22.617802,3,0
852,O,3.923949,6.821750,22.735517,3,0
853,O,5.260588,13.272833,22.551222,3,0
854,O,2.662918,0.457342,22.493348,3,0
855,O,16.596126,4.522244,22.621639,3,0
856,O,17.837964,11.251171,22.491800,3,0
857,O,19.113519,17.583270,22.478864,3,0
858,O,9.470661,2.608568,22.034139,4,1
859,O,10.822081,9.175807,22.277547,3,0
860,O,12.228611,15.505035,22.627297,3,0
861,O,6.089859,8.063570,21.713741,2,0
862,O,7.316840,14.588414,21.638506,2,0
863,O,5.078396,1.639727,21.599737,3,1
864,O,18.546829,6.007715,21.553289,3,1
865,O,20.129821,12.466554,21.578968,3,1
866,O,21.381056,18.704244,21.522175,3,1
867,O,11.792757,3.959275,21.643908,2,0
868,O,13.176556,10.268879,21.560442,3,1
869,O,14.072400,17.130883,21.619783,3,1
870,O,6.239140,7.485800,24.172691,3,0
871,O,7.679517,13.984422,24.054713,3,0
872,O,4.939690,0.957669,24.056656,3,0
873,O,18.955678,5.268939,23.941385,3,0
874,O,20.312655,11.719694,24.004659,3,0
875,O,21.470436,18.229030,24.019019,3,0
876,O,11.742100,3.124146,24.048904,3,0
877,O,13.108541,9.650193,24.028263,3,0
878,O,14.632987,16.222024,23.947394,3,0
879,O,5.890549,10.929268,21.971399,3,0
880,O,7.121206,17.588279,22.008127,3,0
881,O,4.637667,4.556265,22.172551,3,0
882,O,18.440549,8.866021,22.017483,3,0
883,O,19.785876,15.228182,22.163375,3,0
884,O,17.312866,2.160131,21.765021,4,1
885,O,11.593867,6.773223,22.157766,3,0
886,O,13.024315,13.216880,21.878432,4,1
887,O,10.226651,0.340223,22.158324,3,0
888,O,6.498057,4.623456,23.808405,4,0
889,O,7.797484,11.183955,23.726313,4,0
890,O,9.068010,17.635493,23.670168,4,0
891,O,18.988590,2.414638,23.665163,4,0
892,O,20.368541,8.925517,23.654622,4,0
893,O,21.719307,15.295583,23.745092,4,0
894,O,12.293974,0.328694,23.538629,4,0
895,O,13.477800,6.755930,23.719607,4,0
896,O,14.661914,13.326398,23.738466,4,0
897,O,7.961099,5.908128,22.151768,3,0
898,O,9.360957,12.556759,22.046884,3,0
899,O,10.626545,18.944268,22.158706,3,0
900,O,1.145476,3.764809,22.165920,3,0
901,O,2.384360,10.144413,21.847230,4,1
902,O,3.806896,16.792547,22.364525,3,0
903,O,13.718698,1.898063,21.848579,4,1
904,O,14.936385,8.202928,22.364044,3,0
905,O,16.264737,14.519490,22.156332,3,0
906,O,4.296797,9.577420,23.489913,4,0
907,O,5.768865,16.010034,23.586781,4,0
908,O,3.103179,3.038224,23.587058,4,0
909,O,16.979148,7.306069,23.463333,4,0
910,O,18.275920,13.805757,23.544050,4,0
911,O,15.621836,0.849664,23.343612,4,0
912,O,10.002591,5.275479,23.475419,4,0
913,O,11.358802,11.800435,23.461142,4,0
914,O,12.613742,18.284839,23.535984,4,0
